lp,Residuo tipo,Kg,Origen,Comentarios,,,,,,,,,,,,,,,,
14/1/2020,Pet Color,37,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Cartón,123,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Cartón segunda,87,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Diario,43,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Revista,53,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Planilla blanca,145,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Vidrio,587,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Tapitas,13,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Aluminio,13,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Plástico,52,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Hojalata,52,Puntos Verdes,,,,,,,,,,,,,,,,,
14/1/2020,Rechazo (basura),331,Puntos Verdes,,,,,,,,,,,,,,,,,
17/1/2020,Tetra,14,Puntos Verdes,,,,,,,,,,,,,,,,,
17/1/2020,Pet Cristal,97,Puntos Verdes,,,,,,,,,,,,,,,,,
17/1/2020,Pet Color,20,Puntos Verdes,,,,,,,,,,,,,,,,,
17/1/2020,Cartón,49,Puntos Verdes,,,,,,,,,,,,,,,,,
17/1/2020,Cartón segunda,45,Puntos Verdes,,,,,,,,,,,,,,,,,
17/1/2020,Diario,12,Puntos Verdes,,,,,,,,,,,,,,,,,
17/1/2020,Revista,23,Puntos Verdes,,,,,,,,,,,,,,,,,
17/1/2020,Planilla blanca,88,Puntos Verdes,,,,,,,,,,,,,,,,,
17/1/2020,Vidrio,366,Puntos Verdes,,,,,,,,,,,,,,,,,
17/1/2020,Tapitas,7,Puntos Verdes,,,,,,,,,,,,,,,,,
17/1/2020,Aluminio,8,Puntos Verdes,,,,,,,,,,,,,,,,,
17/1/2020,Plástico,31,Puntos Verdes,,,,,,,,,,,,,,,,,
17/1/2020,Hojalata,21,Puntos Verdes,,,,,,,,,,,,,,,,,
17/1/2020,Tetra,14,Puntos Verdes,,,,,,,,,,,,,,,,,
17/1/2020,Pet Cristal,97,Puntos Verdes,,,,,,,,,,,,,,,,,
17/1/2020,Pet Color,20,Puntos Verdes,,,,,,,,,,,,,,,,,
17/1/2020,Cartón,49,Puntos Verdes,,,,,,,,,,,,,,,,,
17/1/2020,Cartón segunda,45,Puntos Verdes,,,,,,,,,,,,,,,,,
17/1/2020,Diario,12,Puntos Verdes,,,,,,,,,,,,,,,,,
17/1/2020,Revista,23,Puntos Verdes,,,,,,,,,,,,,,,,,
17/1/2020,Planilla blanca,88,Puntos Verdes,,,,,,,,,,,,,,,,,
